crypto_name,month,correlation
Binance Coin,2023-01,-0.20196929409441672
Binance Coin,2023-02,0.19879127210623793
Binance Coin,2023-03,0.1391613126144944
Binance Coin,2023-04,-0.1029654851782966
Binance Coin,2023-05,0.04482935237037987
Binance Coin,2023-06,-0.35716838959778124
Binance Coin,2023-07,-0.339235938655127
Bitcoin,2023-01,-0.05923556614093133
Bitcoin,2023-02,0.15927524097347448
Bitcoin,2023-03,0.07060443166362276
Bitcoin,2023-04,0.18807970154453554
Bitcoin,2023-05,-0.15930916809269915
Bitcoin,2023-06,0.04489000414594027
Bitcoin,2023-07,-0.13754682282085023
Cardano,2023-01,-0.025552050303728556
Cardano,2023-02,0.07945775510704978
Cardano,2023-03,0.16979996167624262
Cardano,2023-04,0.020927859836119066
Cardano,2023-05,0.40778160333386515
Cardano,2023-06,-0.11573378294555853
Cardano,2023-07,-0.5496153121355087
Ethereum,2023-01,0.16880103149157688
Ethereum,2023-02,0.0024938963268098927
Ethereum,2023-03,-0.13230042733411074
Ethereum,2023-04,0.03372608854984737
Ethereum,2023-05,0.09598602514698436
Ethereum,2023-06,0.31534820148439613
Ethereum,2023-07,-0.07568631697420261
Solana,2023-01,-0.2521166939624989
Solana,2023-02,-0.12839057197039447
Solana,2023-03,0.04734342302172353
Solana,2023-04,-0.11016018061921247
Solana,2023-05,-0.15472286131341476
Solana,2023-06,-0.29302445925799825
Solana,2023-07,0.2121675264353681
