crypto_name,year,month,log_price
Binance Coin,2023,1,0.2193156716522677
Binance Coin,2023,2,0.3337802368339502
Binance Coin,2023,3,0.3761698711359124
Binance Coin,2023,4,0.37182271665052763
Binance Coin,2023,5,0.24266406043729796
Binance Coin,2023,6,0.5182819505329933
Binance Coin,2023,7,0.26977732827869544
Bitcoin,2023,1,0.38479013386028116
Bitcoin,2023,2,0.3887781615932067
Bitcoin,2023,3,0.43431340806317315
Bitcoin,2023,4,0.3804396713464969
Bitcoin,2023,5,0.47044150728512196
Bitcoin,2023,6,0.5463745367455659
Bitcoin,2023,7,0.649233403198548
Cardano,2023,1,0.3601632995194309
Cardano,2023,2,0.4504835176662593
Cardano,2023,3,0.41788898973381855
Cardano,2023,4,0.19821062695491712
Cardano,2023,5,0.3374464257155566
Cardano,2023,6,0.377188377227892
Cardano,2023,7,0.4325802428481369
Ethereum,2023,1,0.31420089744192464
Ethereum,2023,2,0.38728857028504327
Ethereum,2023,3,0.5510465055897505
Ethereum,2023,4,0.3533376983273827
Ethereum,2023,5,0.4257456564881749
Ethereum,2023,6,0.38802019002590554
Ethereum,2023,7,0.5620857475558485
Solana,2023,1,0.4890786754250014
Solana,2023,2,0.36140583220115846
Solana,2023,3,0.6451440251395064
Solana,2023,4,0.48849534322625454
Solana,2023,5,0.38700741188585597
Solana,2023,6,0.3773880231517197
Solana,2023,7,0.33503698085640465
